origin_id,meaning,description
1,"Proud, Stable",
2,"Worship, Servitude, Submission","Derived from the Arabic verb Aabada, meaning to worship or serve."
2,"Well-Being, Prosperous, Comfort",
2,"Fragrant, Sweet-Smelling, Aromatic, Perfumed","Means 'fragrant, perfumed' in Arabic."
3,Goddess Of Wealth And Prosperity,"Derived from the Hindu deity Lakshmi, also known as Aarti, who is the goddess of wealth and prosperity."
4,"Prayer, Worship","Originating from the Sanskrit word 'aarati', which means 'prayer' or 'worship'."
1,"Beautiful, Respected","Derived from the Sanskrit word 'aradhya', which means 'respected' or 'beautiful'."
2,"Slave Of Allah, Worshiper Of God",
5,"Decoration, Adornment",
4,"Radiant, Brilliant","Aabhas is a name of Sanskrit origin, which means 'radiant' or 'brilliant'."
4,"Radiance, Brilliance, Light","In Sanskrit, Aabhav or Aabhava means radiance, brilliance, or light."
5,"Presence, Existence","In Hindi, Aabhav means presence or existence."
6,"Tiny Stream, Water","From the Old Norse word ""abel"", meaning ""tiny stream"" or ""water."""
7,"Son, Father","From the Hebrew word ""abel"", meaning ""son"" or ""father."""
8,"Noble, Strong","From the Old English word ""aebel"", meaning ""noble"" or ""strong."""
4,"Ornament, Jewelry, Embellishment","Aabharana is a name of Sanskrit origin, meaning 'ornament', 'jewelry', or 'embellishment'. It is often used to describe someone who is beautiful or adorned with jewelry."
1,"Brilliance, Splendor",
4,Rays Of Light,
5,"Luminous, Radiant",
4,"Without Light, Darkness, Absence Of Light","Aabhyr is a name that is rooted in the Sanskrit language. It is a name that is commonly used for boys, and it carries a meaning that is associated with darkness or the absence of light."
4,"Shine, Luminous, Radiance, Splendour, Light",Derived from the Sanskrit word 'aabha' which means 'light' or 'splendour'.
5,"Bright, Lustrous, Radiant, Shimmering","In Hindi, Aabher carries a similar meaning to its Sanskrit roots, representing brightness and luminosity."
4,"Fearless, Brave, Courageous",
4,"Daughter Of The Sun, Beautiful, Radiant",Aabhi is a Hindu name traditionally given to girls.
2,"Noble, Exalted, Respected",Aabia is a name of Arabic origin and is typically given to girls.
2,"Worshipper Of God, Devoted To God",
2,"Worshipper, Devotee","Aabidah is the feminine form of the Arabic name Aabid, which means 'worshipper' or 'devotee'."
2,"Worshiper, Devotee",Aabidha is a feminine name that carries the meaning of 'worshiper' or 'devotee' in Arabic.
2,Worshipper Of God,
2,Worshiper,
9,Father Of Joy,Combination of Abigayil and Aabh.
2,Worshipper Of God,
2,"Worshiper, Devotee, Adorer",
2,"Beloved, Adored One",
2,Worshipful,
2,"Passing By, Traverser","The name Aabirah comes from the Arabic origin, meaning 'passing by' or 'traverser'."
10,"Virtuous, Pious","In the Persian origin, the name Aabirah means 'virtuous' or 'pious'."
11,"Bright, Radiant","Aabish is a name derived from the Sanskrit word 'aabha', which means 'bright' or 'radiant.'"
2,"The Life Of My Father, Or A Shield Or A Protection",
12,A Flower,"Aaboli is a Marathi name that means ""a flower"". It is a common name in Maharashtra, India."
13,Father Of The Heart,"Aabou is an Egyptian god of the afterlife, associated with the heart."
9,"Father Of Many, Exalted Father","Derived from the Hebrew word `ab`, meaning ""father"", and the suffix `-ham`, meaning ""multitude""."
10,"Honorable, Respectable","Aabrar is a name of Persian origin, meaning ""honorable"" or ""respectable""."
9,Exalted Father,"Aabram is the Hebrew form of Abraham, the patriarch of the Jews, Christians, and Muslims."
14,Gift From God,This name was coined in America in the 1980s.
9,God Is My Strength,This is the feminine form of the Hebrew name Gabriel.
15,Scalped,
16,"From The Hebrew Name Avri, Which Means 'My Father Is Exalted'.",
2,The Greatest Of All,
2,"Reputation, Honour, Prestige",
9,Gift From God,"Aabriella is the feminine form of the Hebrew name Aabram, which means 'father of many'."
2,Beautiful Princess,
17,"Beautiful, Radiant","Aabriella is the feminine form of the Latin name Aabrius, which means 'beautiful' or 'radiant'."
2,"The Receiver Of Knowledge, The Learned","Often given to boys, especially those in religious studies."
4,Source Of Energy,"Aachal is a Hindi name derived from the Sanskrit word 'Achal', which means 'immovable' or 'unshakeable'."
16,Singed By Fire,
18,"Born On Sunday, Eighth Child",Aachi is a name commonly given to children born on Sunday and/or to the eighth child born in a family.
3,"Respect, Honor, Esteem","Aachman is a Hindu name derived from the Sanskrit word 'aachar', which means 'respect' or 'honor'"
19,Father,
9,Father Of Strength,
1,Goddess,A Hindu name that means goddess.
4,Goddess,A Sanskrit name that means goddess.
20,Respectful,A respectful term used to address women in Malayalam.
